"","state","governor","party","born","prior_public_experience","inauguration","end_of_term"
"1","Alabama","Kay Ivey","Republican","(1944-10-15) October 15, 1944 (age 80)","Lieutenant GovernorState Treasurer",2017-04-10,"2027 (term limits)"
"2","Alaska","Mike Dunleavy","Republican","(1961-05-05) May 5, 1961 (age 63)","Alaska Senate",2018-12-03,"2026 (term limits)"
"3","Arizona","Katie Hobbs","Democratic","(1969-12-28) December 28, 1969 (age 55)","Secretary of StateMinority Leader of the Arizona SenateArizona House",2023-01-02,"2027"
"4","Arkansas","Sarah Huckabee Sanders","Republican","(1982-08-13) August 13, 1982 (age 42)","White House Press Secretary",2023-01-10,"2027"
"5","California","Gavin Newsom","Democratic","(1967-10-10) October 10, 1967 (age 57)","Lieutenant GovernorMayor of San FranciscoSan Francisco Board of Supervisors",2019-01-07,"2027 (term limits)"
"6","Colorado","Jared Polis","Democratic","(1975-05-12) May 12, 1975 (age 49)","U.S. HouseColorado State Board of Education",2019-01-08,"2027 (term limits)"
"7","Connecticut","Ned Lamont","Democratic","(1954-01-03) January 3, 1954 (age 71)","Chair of the State Investment Advisory CouncilGreenwich Board of Estimate and TaxationGreenwich Board of Selectmen",2019-01-09,"2027"
"8","Delaware","Matt Meyer","Democratic","(1971-09-29) September 29, 1971 (age 53)","Executive of New Castle County",2025-01-21,"2029"
"9","Florida","Ron DeSantis","Republican","(1978-09-14) September 14, 1978 (age 46)","U.S. House",2019-01-08,"2027 (term limits)"
"10","Georgia","Brian Kemp","Republican","(1963-11-02) November 2, 1963 (age 61)","Secretary of StateGeorgia Senate",2019-01-14,"2027 (term limits)"
"11","Hawaii","Josh Green","Democratic","(1970-02-11) February 11, 1970 (age 54)","Lieutenant GovernorHawaii SenateHawaii House",2022-12-05,"2026"
"12","Idaho","Brad Little","Republican","(1954-02-15) February 15, 1954 (age 70)","Lieutenant GovernorIdaho Senate",2019-01-07,"2027"
"13","Illinois","J. B. Pritzker","Democratic","(1965-01-19) January 19, 1965 (age 60)","Chair of the Illinois Human Rights Commission",2019-01-14,"2027"
"14","Indiana","Mike Braun","Republican","(1954-03-24) March 24, 1954 (age 70)","U.S. Senate
Indiana House",2025-01-13,"2029"
"15","Iowa","Kim Reynolds","Republican","(1959-08-04) August 4, 1959 (age 65)","Lieutenant GovernorIowa SenateClarke County Treasurer",2017-05-24,"2027"
